Date,Amount,Description,Balance
10/10/2025,-65.54,Subway,934.46
10/10/2025,-171.41,Gas Company,763.05
10/11/2025,-195.66,Gas Company,567.39
10/12/2025,4757.28,Investment Dividend,5324.67
10/12/2025,-117.23,Internet Provider,5207.44
10/13/2025,3039.76,Investment Dividend,8247.2
10/13/2025,-139.21,Best Buy,8107.99
10/14/2025,-54.77,Chevron,8053.22
10/15/2025,-67.4,Safeway,7985.82
10/15/2025,-381.83,Geico,7603.99
10/15/2025,-60.19,Exxon,7543.8
10/16/2025,-273.02,Best Buy,7270.78
10/16/2025,-31.82,Kroger,7238.96
10/17/2025,-53.3,Mobil,7185.66
10/17/2025,-192.03,CVS Pharmacy,6993.63
10/18/2025,-104.63,Water Utility,6889.0
10/18/2025,-85.65,Amazon,6803.35
10/18/2025,-12.99,Subway,6790.36
10/18/2025,-74.88,Costco,6715.48
10/19/2025,-43.07,AMC Theaters,6672.41
10/19/2025,-70.03,Chipotle,6602.38
10/20/2025,-16.91,Lyft,6585.47
10/20/2025,-143.1,Walmart,6442.37
10/23/2025,-48.41,Lyft,6393.96
10/23/2025,-20.58,Spotify,6373.38
10/23/2025,-45.71,Netflix,6327.67
10/24/2025,-81.56,Trader Joe's,6246.11
10/24/2025,-149.01,Dental Clinic,6097.1
10/25/2025,-18.48,Olive Garden,6078.62
10/26/2025,-81.42,Walgreens,5997.2
10/26/2025,-25.7,Olive Garden,5971.5
10/26/2025,-42.82,Lyft,5928.68
10/26/2025,-28.35,Starbucks,5900.33
10/29/2025,-69.79,Trader Joe's,5830.54
10/29/2025,-188.56,Home Depot,5641.98
10/30/2025,-63.51,Exxon,5578.47
10/30/2025,2162.87,Employer Payroll,7741.34
10/31/2025,-68.17,Subway,7673.17
10/31/2025,-126.68,Water Utility,7546.49
11/01/2025,-195.78,Gas Company,7350.71
11/03/2025,-49.12,Metro Transit,7301.59
11/03/2025,606.49,Employer Payroll,7908.08
11/03/2025,-280.86,Macy's,7627.22
11/04/2025,-128.05,Macy's,7499.17
11/04/2025,-46.29,Olive Garden,7452.88
11/05/2025,-55.23,McDonald's,7397.65
11/06/2025,-135.59,Home Depot,7262.06
11/06/2025,-43.64,Safeway,7218.42
11/09/2025,-291.16,Amazon,6927.26
11/09/2025,818.86,Freelance Payment,7746.12
11/09/2025,-278.84,Target,7467.28
11/09/2025,-23.41,Steam,7443.87
11/10/2025,-7.26,Parking Garage,7436.61
11/10/2025,3894.05,Employer Payroll,11330.66
11/10/2025,-39.66,Netflix,11291.0
11/10/2025,-19.5,Metro Transit,11271.5
11/10/2025,-20.6,Spotify,11250.9
11/10/2025,-179.22,Home Depot,11071.68
11/11/2025,0.0,Zero Amount Transaction,11071.68
11/12/2025,-26.99,Olive Garden,11044.69
11/12/2025,-47.87,Amazon,10996.82
11/14/2025,-54.08,Pizza Hut,10942.74
11/14/2025,-0.0,Olive Garden,10942.74
11/16/2025,-59.12,Macy's,10883.62
11/16/2025,-12.49,PayPal,10871.13
11/17/2025,-24.8,Starbucks,10846.33
11/17/2025,-77.14,Shell,10769.19
11/17/2025,-60.78,Chevron,10708.41
11/17/2025,-213.7,Amazon,10494.71
11/17/2025,-220.13,Amazon,10274.58
11/20/2025,-40.98,Mobil,10233.6
11/20/2025,-40.98,Mobil,10192.62
11/21/2025,-85.17,Gas Company,10107.45
11/21/2025,-6.12,Parking Garage,10101.33
11/22/2025,3958.69,Freelance Payment,14060.02
11/22/2025,-37.77,Exxon,14022.25
11/22/2025,-33.94,CVS Pharmacy,13988.31
11/23/2025,-121.74,Walmart,13866.57
11/23/2025,-46.76,Starbucks,13819.81
11/23/2025,-26.77,Walmart,13793.04
11/24/2025,-105.67,Whole Foods,13687.37
11/26/2025,-36.56,AMC Theaters,13650.81
11/26/2025,662.13,Investment Dividend,14312.94
11/27/2025,-120.11,Geico,14192.83
11/27/2025,-87.32,Bank Fee,14105.51
11/28/2025,-157.75,Water Utility,13947.76
11/30/2025,-226.5,Dental Clinic,13721.26
11/30/2025,-61.35,Starbucks,13659.91
12/01/2025,-21.78,Walmart,13638.13
12/02/2025,-24.48,Subway,13613.65
12/02/2025,-409.07,Progressive,13204.58
12/02/2025,-64.36,Costco,13140.22
12/03/2025,-78.32,Walmart,13061.9
12/03/2025,-0.0,Steam,13061.9
12/05/2025,-66.19,Starbucks,12995.71
12/05/2025,-277.54,Home Depot,12718.17
12/05/2025,-25.27,Parking Garage,12692.9
12/07/2025,-24.79,Olive Garden,12668.11
12/07/2025,4512.09,Investment Dividend,17180.2
12/07/2025,-179.83,Geico,17000.37
12/09/2025,-26.01,Whole Foods,16974.36
12/09/2025,-32.18,BP,16942.18
12/09/2025,-161.55,Water Utility,16780.63
12/09/2025,-17.2,Bank Fee,16763.43
12/10/2025,-27.86,Spotify,16735.57
12/10/2025,-115.56,Dr. Smith's Office,16620.01
12/10/2025,-18.66,Spotify,16601.35
12/11/2025,-35.51,Spotify,16565.84
12/11/2025,-65.3,PayPal,16500.54
12/11/2025,-113.61,Trader Joe's,16386.93
12/12/2025,-30.02,AMC Theaters,16356.91
12/13/2025,-56.08,ATM Withdrawal,16300.83
12/13/2025,4167.53,Investment Dividend,20468.36
12/14/2025,1208.45,Investment Dividend,21676.81
12/14/2025,-65.65,Safeway,21611.16
12/15/2025,-39.46,Metro Transit,21571.7
12/17/2025,-161.66,Dr. Smith's Office,21410.04
12/17/2025,-35.4,Steam,21374.64
12/18/2025,2921.99,Freelance Payment,24296.63
12/19/2025,-0.0,Subway,24296.63
12/19/2025,2494.09,Employer Payroll,26790.72
12/20/2025,-106.79,Kroger,26683.93
12/20/2025,-29.76,Starbucks,26654.17
12/21/2025,-130.08,Target,26524.09
12/21/2025,-58.24,Amazon,26465.85
12/21/2025,3877.14,Employer Payroll,30342.99
12/21/2025,-202.35,Macy's,30140.64
12/22/2025,-47.96,Home Depot,30092.68
12/23/2025,-35.09,McDonald's,30057.59
12/25/2025,4633.22,Investment Dividend,34690.81
12/25/2025,-69.32,Macy's,34621.49
12/26/2025,-16.71,AMC Theaters,34604.78
12/26/2025,-58.51,Pizza Hut,34546.27
12/27/2025,-61.05,Mobil,34485.22
12/28/2025,-55.92,Chevron,34429.3
12/29/2025,-11.15,Netflix,34418.15
12/31/2025,4761.77,Freelance Payment,39179.92
01/01/2026,1916.05,Investment Dividend,41095.97
01/01/2026,-26.17,Lyft,41069.8
01/01/2026,-174.95,Amazon,40894.85
01/03/2026,-25.96,AMC Theaters,40868.89
01/03/2026,-42.03,Olive Garden,40826.86
01/03/2026,-47.76,Exxon,40779.1
01/04/2026,-47.76,Exxon,40731.34
01/04/2026,-49.98,Uber,40681.36
01/06/2026,-73.11,Whole Foods,40608.25
01/07/2026,-46.54,Mobil,40561.71
01/07/2026,-24.97,Subway,40536.74
01/07/2026,-20.67,Spotify,40516.07
01/08/2026,-5.5,McDonald's,40510.57
